PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Ticket,Cabin,Embarked,Name,Cabin_ticket_list,Cabin_seat_count,Cabin_group,Family_Member_Count,Sex_encoded,Cabin_encoded,Cabin_group_encoded,Embarked_encoded
51,0,3,7.0,4,1,39.6875,male,3101295,Missing,S,"['panula', 'master', 'juha', 'niilo']",[],0,M,5,1,146,7,2
52,0,3,21.0,0,0,7.8,male,A/4. 39886,Missing,S,"['nosworthy', 'mr', 'richard', 'cater']",[],0,M,0,1,146,7,2
53,1,1,49.0,1,0,76.7292,female,PC 17572,D33,C,"['harper', 'mrs', 'henry', 'sleeper', 'myna', 'haxtun']",['D33'],1,D,1,0,101,3,0
54,1,2,29.0,1,0,26.0,female,2926,Missing,S,"['faunthorpe', 'mrs', 'lizzie', 'elizabeth', 'anne', 'wilkinson']",[],0,M,1,0,146,7,2
55,0,1,65.0,0,1,61.9792,male,113509,B30,C,"['ostby', 'mr', 'engelhart', 'cornelius']",['B30'],1,B,1,1,23,1,0
56,1,1,28.0,0,0,35.5,male,19947,C52,S,"['woolner', 'mr', 'hugh']",['C52'],1,C,0,1,71,2,2
57,1,2,21.0,0,0,10.5,female,C.A. 31026,Missing,S,"['rugg', 'miss', 'emily']",[],0,M,0,0,146,7,2
58,0,3,28.5,0,0,7.2292,male,2697,Missing,C,"['novel', 'mr', 'mansouer']",[],0,M,0,1,146,7,0
59,1,2,5.0,1,2,27.75,female,C.A. 34651,Missing,S,"['west', 'miss', 'constance', 'mirium']",[],0,M,3,0,146,7,2
60,0,3,11.0,5,2,46.9,male,CA 2144,Missing,S,"['goodwin', 'master', 'william', 'frederick']",[],0,M,7,1,146,7,2
61,0,3,22.0,0,0,7.2292,male,2669,Missing,C,"['sirayanian', 'mr', 'orsen']",[],0,M,0,1,146,7,0
62,1,1,38.0,0,0,80.0,female,113572,B28,S,"['icard', 'miss', 'amelie']",['B28'],1,B,0,0,21,1,2
63,0,1,45.0,1,0,83.475,male,36973,C83,S,"['harris', 'mr', 'henry', 'birkhardt']",['C83'],1,C,1,1,80,2,2
64,0,3,4.0,3,2,27.9,male,347088,Missing,S,"['skoog', 'master', 'harald']",[],0,M,5,1,146,7,2
65,0,1,28.0,0,0,27.7208,male,PC 17605,Missing,C,"['stewart', 'mr', 'albert', 'a']",[],0,M,0,1,146,7,0
66,1,3,28.0,1,1,15.2458,male,2661,Missing,C,"['moubarek', 'master', 'gerios']",[],0,M,2,1,146,7,0
67,1,2,29.0,0,0,10.5,female,C.A. 29395,F33,S,"['nye', 'mrs', 'elizabeth', 'ramell']",['F33'],1,F,0,0,142,5,2
68,0,3,19.0,0,0,8.1583,male,S.P. 3464,Missing,S,"['crease', 'mr', 'ernest', 'james']",[],0,M,0,1,146,7,2
69,1,3,17.0,4,2,7.925,female,3101281,Missing,S,"['andersson', 'miss', 'erna', 'alexandra']",[],0,M,6,0,146,7,2
70,0,3,26.0,2,0,8.6625,male,315151,Missing,S,"['kink', 'mr', 'vincenz']",[],0,M,2,1,146,7,2
71,0,2,32.0,0,0,10.5,male,C.A. 33111,Missing,S,"['jenkin', 'mr', 'stephen', 'curnow']",[],0,M,0,1,146,7,2
72,0,3,16.0,5,2,46.9,female,CA 2144,Missing,S,"['goodwin', 'miss', 'lillian', 'amy']",[],0,M,7,0,146,7,2
73,0,2,21.0,0,0,73.5,male,S.O.C. 14879,Missing,S,"['hood', 'mr', 'ambrose', 'jr']",[],0,M,0,1,146,7,2
74,0,3,26.0,1,0,14.4542,male,2680,Missing,C,"['chronopoulos', 'mr', 'apostolos']",[],0,M,1,1,146,7,0
75,1,3,32.0,0,0,56.4958,male,1601,Missing,S,"['bing', 'mr', 'lee']",[],0,M,0,1,146,7,2
76,0,3,25.0,0,0,7.65,male,348123,F G73,S,"['moen', 'mr', 'sigurd', 'hansen']","['F', 'G73']",2,F,0,1,140,5,2
77,0,3,28.0,0,0,7.8958,male,349208,Missing,S,"['staneff', 'mr', 'ivan']",[],0,M,0,1,146,7,2
78,0,3,28.0,0,0,8.05,male,374746,Missing,S,"['moutal', 'mr', 'rahamin', 'haim']",[],0,M,0,1,146,7,2
79,1,2,0.83,0,2,29.0,male,248738,Missing,S,"['caldwell', 'master', 'alden', 'gates']",[],0,M,2,1,146,7,2
80,1,3,30.0,0,0,12.475,female,364516,Missing,S,"['dowdell', 'miss', 'elizabeth']",[],0,M,0,0,146,7,2
81,0,3,22.0,0,0,9.0,male,345767,Missing,S,"['waelens', 'mr', 'achille']",[],0,M,0,1,146,7,2
82,1,3,29.0,0,0,9.5,male,345779,Missing,S,"['sheerlinck', 'mr', 'jan', 'baptist']",[],0,M,0,1,146,7,2
83,1,3,28.0,0,0,7.7875,female,330932,Missing,Q,"['mcdermott', 'miss', 'brigdet', 'delia']",[],0,M,0,0,146,7,1
84,0,1,28.0,0,0,47.1,male,113059,Missing,S,"['carrau', 'mr', 'francisco', 'm']",[],0,M,0,1,146,7,2
85,1,2,17.0,0,0,10.5,female,SO/C 14885,Missing,S,"['ilett', 'miss', 'bertha']",[],0,M,0,0,146,7,2
86,1,3,33.0,3,0,15.85,female,3101278,Missing,S,"['backstrom', 'mrs', 'karl', 'alfred', 'maria', 'mathilda', 'gustafsson']",[],0,M,3,0,146,7,2
87,0,3,16.0,1,3,34.375,male,W./C. 6608,Missing,S,"['ford', 'mr', 'william', 'neal']",[],0,M,4,1,146,7,2
88,0,3,28.0,0,0,8.05,male,SOTON/OQ 392086,Missing,S,"['slocovski', 'mr', 'selman', 'francis']",[],0,M,0,1,146,7,2
89,1,1,23.0,3,2,263.0,female,19950,C23 C25 C27,S,"['fortune', 'miss', 'mabel', 'helen']","['C23', 'C25', 'C27']",3,C,5,0,63,2,2
90,0,3,24.0,0,0,8.05,male,343275,Missing,S,"['celotti', 'mr', 'francesco']",[],0,M,0,1,146,7,2
91,0,3,29.0,0,0,8.05,male,343276,Missing,S,"['christmann', 'mr', 'emil']",[],0,M,0,1,146,7,2
92,0,3,20.0,0,0,7.8542,male,347466,Missing,S,"['andreasson', 'mr', 'paul', 'edvin']",[],0,M,0,1,146,7,2
93,0,1,46.0,1,0,61.175,male,W.E.P. 5734,E31,S,"['chaffee', 'mr', 'herbert', 'fuller']",['E31'],1,E,1,1,122,4,2
94,0,3,26.0,1,2,20.575,male,C.A. 2315,Missing,S,"['dean', 'mr', 'bertram', 'frank']",[],0,M,3,1,146,7,2
95,0,3,59.0,0,0,7.25,male,364500,Missing,S,"['coxon', 'mr', 'daniel']",[],0,M,0,1,146,7,2
96,0,3,28.0,0,0,8.05,male,374910,Missing,S,"['shorney', 'mr', 'charles', 'joseph']",[],0,M,0,1,146,7,2
97,0,1,71.0,0,0,34.6542,male,PC 17754,A5,C,"['goldschmidt', 'mr', 'george', 'b']",['A5'],1,A,0,1,12,0,0
98,1,1,23.0,0,1,63.3583,male,PC 17759,D10 D12,C,"['greenfield', 'mr', 'william', 'bertram']","['D10', 'D12']",2,D,1,1,91,3,0
99,1,2,34.0,0,1,23.0,female,231919,Missing,S,"['doling', 'mrs', 'john', 't', 'ada', 'julia', 'bone']",[],0,M,1,0,146,7,2
100,0,2,34.0,1,0,26.0,male,244367,Missing,S,"['kantor', 'mr', 'sinai']",[],0,M,1,1,146,7,2
101,0,3,28.0,0,0,7.8958,female,349245,Missing,S,"['petranec', 'miss', 'matilda']",[],0,M,0,0,146,7,2
102,0,3,28.0,0,0,7.8958,male,349215,Missing,S,"['petroff', 'mr', 'pastcho', 'pentcho']",[],0,M,0,1,146,7,2
103,0,1,21.0,0,1,77.2875,male,35281,D26,S,"['white', 'mr', 'richard', 'frasar']",['D26'],1,D,1,1,98,3,2
104,0,3,33.0,0,0,8.6542,male,7540,Missing,S,"['johansson', 'mr', 'gustaf', 'joel']",[],0,M,0,1,146,7,2
105,0,3,37.0,2,0,7.925,male,3101276,Missing,S,"['gustafsson', 'mr', 'anders', 'vilhelm']",[],0,M,2,1,146,7,2
106,0,3,28.0,0,0,7.8958,male,349207,Missing,S,"['mionoff', 'mr', 'stoytcho']",[],0,M,0,1,146,7,2
107,1,3,21.0,0,0,7.65,female,343120,Missing,S,"['salkjelsvik', 'miss', 'anna', 'kristine']",[],0,M,0,0,146,7,2
108,1,3,28.0,0,0,7.775,male,312991,Missing,S,"['moss', 'mr', 'albert', 'johan']",[],0,M,0,1,146,7,2
109,0,3,38.0,0,0,7.8958,male,349249,Missing,S,"['rekic', 'mr', 'tido']",[],0,M,0,1,146,7,2
110,1,3,28.0,1,0,24.15,female,371110,Missing,Q,"['moran', 'miss', 'bertha']",[],0,M,1,0,146,7,1
111,0,1,47.0,0,0,52.0,male,110465,C110,S,"['porter', 'mr', 'walter', 'chamberlain']",['C110'],1,C,0,1,52,2,2
112,0,3,14.5,1,0,14.4542,female,2665,Missing,C,"['zabour', 'miss', 'hileni']",[],0,M,1,0,146,7,0
113,0,3,22.0,0,0,8.05,male,324669,Missing,S,"['barton', 'mr', 'david', 'john']",[],0,M,0,1,146,7,2
114,0,3,20.0,1,0,9.825,female,4136,Missing,S,"['jussila', 'miss', 'katriina']",[],0,M,1,0,146,7,2
115,0,3,17.0,0,0,14.4583,female,2627,Missing,C,"['attalah', 'miss', 'malake']",[],0,M,0,0,146,7,0
116,0,3,21.0,0,0,7.925,male,STON/O 2. 3101294,Missing,S,"['pekoniemi', 'mr', 'edvard']",[],0,M,0,1,146,7,2
117,0,3,70.5,0,0,7.75,male,370369,Missing,Q,"['connors', 'mr', 'patrick']",[],0,M,0,1,146,7,1
118,0,2,29.0,1,0,21.0,male,11668,Missing,S,"['turpin', 'mr', 'william', 'john', 'robert']",[],0,M,1,1,146,7,2
119,0,1,24.0,0,1,247.5208,male,PC 17558,B58 B60,C,"['baxter', 'mr', 'quigg', 'edmond']","['B58', 'B60']",2,B,1,1,36,1,0
120,0,3,2.0,4,2,31.275,female,347082,Missing,S,"['andersson', 'miss', 'ellis', 'anna', 'maria']",[],0,M,6,0,146,7,2
121,0,2,21.0,2,0,73.5,male,S.O.C. 14879,Missing,S,"['hickman', 'mr', 'stanley', 'george']",[],0,M,2,1,146,7,2
122,0,3,28.0,0,0,8.05,male,A4. 54510,Missing,S,"['moore', 'mr', 'leonard', 'charles']",[],0,M,0,1,146,7,2
123,0,2,32.5,1,0,30.0708,male,237736,Missing,C,"['nasser', 'mr', 'nicholas']",[],0,M,1,1,146,7,0
124,1,2,32.5,0,0,13.0,female,27267,E101,S,"['webber', 'miss', 'susan']",['E101'],1,E,0,0,116,4,2
125,0,1,54.0,0,1,77.2875,male,35281,D26,S,"['white', 'mr', 'percival', 'wayland']",['D26'],1,D,1,1,98,3,2
126,1,3,12.0,1,0,11.2417,male,2651,Missing,C,"['nicolayarred', 'master', 'elias']",[],0,M,1,1,146,7,0
127,0,3,28.0,0,0,7.75,male,370372,Missing,Q,"['mcmahon', 'mr', 'martin']",[],0,M,0,1,146,7,1
128,1,3,24.0,0,0,7.1417,male,C 17369,Missing,S,"['madsen', 'mr', 'fridtjof', 'arne']",[],0,M,0,1,146,7,2
129,1,3,28.0,1,1,22.3583,female,2668,F E69,C,"['peter', 'miss', 'anna']","['F', 'E69']",2,F,2,0,138,5,0
130,0,3,45.0,0,0,6.975,male,347061,Missing,S,"['ekstrom', 'mr', 'johan']",[],0,M,0,1,146,7,2
131,0,3,33.0,0,0,7.8958,male,349241,Missing,C,"['drazenoic', 'mr', 'jozef']",[],0,M,0,1,146,7,0
132,0,3,20.0,0,0,7.05,male,SOTON/O.Q. 3101307,Missing,S,"['coelho', 'mr', 'domingos', 'fernandeo']",[],0,M,0,1,146,7,2
133,0,3,47.0,1,0,14.5,female,A/5. 3337,Missing,S,"['robins', 'mrs', 'alexander', 'a', 'grace', 'charity', 'laury']",[],0,M,1,0,146,7,2
134,1,2,29.0,1,0,26.0,female,228414,Missing,S,"['weisz', 'mrs', 'leopold', 'mathilde', 'francoise', 'pede']",[],0,M,1,0,146,7,2
135,0,2,25.0,0,0,13.0,male,C.A. 29178,Missing,S,"['sobey', 'mr', 'samuel', 'james', 'hayden']",[],0,M,0,1,146,7,2
136,0,2,23.0,0,0,15.0458,male,SC/PARIS 2133,Missing,C,"['richard', 'mr', 'emile']",[],0,M,0,1,146,7,0
137,1,1,19.0,0,2,26.2833,female,11752,D47,S,"['newsom', 'miss', 'helen', 'monypeny']",['D47'],1,D,2,0,107,3,2
138,0,1,37.0,1,0,53.1,male,113803,C123,S,"['futrelle', 'mr', 'jacques', 'heath']",['C123'],1,C,1,1,55,2,2
139,0,3,16.0,0,0,9.2167,male,7534,Missing,S,"['osen', 'mr', 'olaf', 'elon']",[],0,M,0,1,146,7,2
140,0,1,24.0,0,0,79.2,male,PC 17593,B86,C,"['giglio', 'mr', 'victor']",['B86'],1,B,0,1,45,1,0
141,0,3,28.0,0,2,15.2458,female,2678,Missing,C,"['boulos', 'mrs', 'joseph', 'sultana']",[],0,M,2,0,146,7,0
142,1,3,22.0,0,0,7.75,female,347081,Missing,S,"['nysten', 'miss', 'anna', 'sofia']",[],0,M,0,0,146,7,2
143,1,3,24.0,1,0,15.85,female,STON/O2. 3101279,Missing,S,"['hakkarainen', 'mrs', 'pekka', 'pietari', 'elin', 'matilda', 'dolck']",[],0,M,1,0,146,7,2
144,0,3,19.0,0,0,6.75,male,365222,Missing,Q,"['burke', 'mr', 'jeremiah']",[],0,M,0,1,146,7,1
145,0,2,18.0,0,0,11.5,male,231945,Missing,S,"['andrew', 'mr', 'edgardo', 'samuel']",[],0,M,0,1,146,7,2
146,0,2,19.0,1,1,36.75,male,C.A. 33112,Missing,S,"['nicholls', 'mr', 'joseph', 'charles']",[],0,M,2,1,146,7,2
147,1,3,27.0,0,0,7.7958,male,350043,Missing,S,"['andersson', 'mr', 'august', 'edvard', 'wennerstrom']",[],0,M,0,1,146,7,2
148,0,3,9.0,2,2,34.375,female,W./C. 6608,Missing,S,"['ford', 'miss', 'robina', 'maggie', 'ruby']",[],0,M,4,0,146,7,2
149,0,2,36.5,0,2,26.0,male,230080,F2,S,"['navratil', 'mr', 'michel', 'louis', 'm', 'hoffman']",['F2'],1,F,2,1,141,5,2
150,0,2,42.0,0,0,13.0,male,244310,Missing,S,"['byles', 'rev', 'thomas', 'roussel', 'davids']",[],0,M,0,1,146,7,2
151,0,2,51.0,0,0,12.525,male,S.O.P. 1166,Missing,S,"['bateman', 'rev', 'robert', 'james']",[],0,M,0,1,146,7,2
152,1,1,22.0,1,0,66.6,female,113776,C2,S,"['pears', 'mrs', 'thomas', 'edith', 'wearne']",['C2'],1,C,1,0,61,2,2
153,0,3,55.5,0,0,8.05,male,A.5. 11206,Missing,S,"['meo', 'mr', 'alfonzo']",[],0,M,0,1,146,7,2
154,0,3,40.5,0,2,14.5,male,A/5. 851,Missing,S,"['van', 'billiard', 'mr', 'austin', 'blyler']",[],0,M,2,1,146,7,2
155,0,3,28.0,0,0,7.3125,male,Fa 265302,Missing,S,"['olsen', 'mr', 'ole', 'martin']",[],0,M,0,1,146,7,2
156,0,1,51.0,0,1,61.3792,male,PC 17597,Missing,C,"['williams', 'mr', 'charles', 'duane']",[],0,M,1,1,146,7,0
157,1,3,16.0,0,0,7.7333,female,35851,Missing,Q,"['gilnagh', 'miss', 'katherine', 'katie']",[],0,M,0,0,146,7,1
158,0,3,30.0,0,0,8.05,male,SOTON/OQ 392090,Missing,S,"['corn', 'mr', 'harry']",[],0,M,0,1,146,7,2
159,0,3,28.0,0,0,8.6625,male,315037,Missing,S,"['smiljanic', 'mr', 'mile']",[],0,M,0,1,146,7,2
160,0,3,28.0,8,2,69.55,male,CA. 2343,Missing,S,"['sage', 'master', 'thomas', 'henry']",[],0,M,10,1,146,7,2
161,0,3,44.0,0,1,16.1,male,371362,Missing,S,"['cribb', 'mr', 'john', 'hatfield']",[],0,M,1,1,146,7,2
162,1,2,40.0,0,0,15.75,female,C.A. 33595,Missing,S,"['watt', 'mrs', 'james', 'elizabeth', 'bessie', 'inglis', 'milne']",[],0,M,0,0,146,7,2
163,0,3,26.0,0,0,7.775,male,347068,Missing,S,"['bengtsson', 'mr', 'john', 'viktor']",[],0,M,0,1,146,7,2
164,0,3,17.0,0,0,8.6625,male,315093,Missing,S,"['calic', 'mr', 'jovo']",[],0,M,0,1,146,7,2
165,0,3,1.0,4,1,39.6875,male,3101295,Missing,S,"['panula', 'master', 'eino', 'viljami']",[],0,M,5,1,146,7,2
166,1,3,9.0,0,2,20.525,male,363291,Missing,S,"['goldsmith', 'master', 'frank', 'john', 'william', 'frankie']",[],0,M,2,1,146,7,2
167,1,1,28.0,0,1,55.0,female,113505,E33,S,"['chibnall', 'mrs', 'edith', 'martha', 'bowerman']",['E33'],1,E,1,0,123,4,2
168,0,3,45.0,1,4,27.9,female,347088,Missing,S,"['skoog', 'mrs', 'william', 'anna', 'bernhardina', 'karlsson']",[],0,M,5,0,146,7,2
169,0,1,28.0,0,0,25.925,male,PC 17318,Missing,S,"['baumann', 'mr', 'john', 'd']",[],0,M,0,1,146,7,2
170,0,3,28.0,0,0,56.4958,male,1601,Missing,S,"['ling', 'mr', 'lee']",[],0,M,0,1,146,7,2
171,0,1,61.0,0,0,33.5,male,111240,B19,S,"['van', 'der', 'hoef', 'mr', 'wyckoff']",['B19'],1,B,0,1,18,1,2
172,0,3,4.0,4,1,29.125,male,382652,Missing,Q,"['rice', 'master', 'arthur']",[],0,M,5,1,146,7,1
173,1,3,1.0,1,1,11.1333,female,347742,Missing,S,"['johnson', 'miss', 'eleanor', 'ileen']",[],0,M,2,0,146,7,2
174,0,3,21.0,0,0,7.925,male,STON/O 2. 3101280,Missing,S,"['sivola', 'mr', 'antti', 'wilhelm']",[],0,M,0,1,146,7,2
175,0,1,56.0,0,0,30.6958,male,17764,A7,C,"['smith', 'mr', 'james', 'clinch']",['A7'],1,A,0,1,14,0,0
176,0,3,18.0,1,1,7.8542,male,350404,Missing,S,"['klasen', 'mr', 'klas', 'albin']",[],0,M,2,1,146,7,2
177,0,3,28.0,3,1,25.4667,male,4133,Missing,S,"['lefebre', 'master', 'henry', 'forbes']",[],0,M,4,1,146,7,2
178,0,1,50.0,0,0,28.7125,female,PC 17595,C49,C,"['isham', 'miss', 'ann', 'elizabeth']",['C49'],1,C,0,0,69,2,0
179,0,2,30.0,0,0,13.0,male,250653,Missing,S,"['hale', 'mr', 'reginald']",[],0,M,0,1,146,7,2
180,0,3,36.0,0,0,0.0,male,LINE,Missing,S,"['leonard', 'mr', 'lionel']",[],0,M,0,1,146,7,2
181,0,3,28.0,8,2,69.55,female,CA. 2343,Missing,S,"['sage', 'miss', 'constance', 'gladys']",[],0,M,10,0,146,7,2
182,0,2,28.0,0,0,15.05,male,SC/PARIS 2131,Missing,C,"['pernot', 'mr', 'rene']",[],0,M,0,1,146,7,0
183,0,3,9.0,4,2,31.3875,male,347077,Missing,S,"['asplund', 'master', 'clarence', 'gustaf', 'hugo']",[],0,M,6,1,146,7,2
184,1,2,1.0,2,1,39.0,male,230136,F4,S,"['becker', 'master', 'richard', 'f']",['F4'],1,F,3,1,144,5,2
185,1,3,4.0,0,2,22.025,female,315153,Missing,S,"['kinkheilmann', 'miss', 'luise', 'gretchen']",[],0,M,2,0,146,7,2
186,0,1,28.0,0,0,50.0,male,113767,A32,S,"['rood', 'mr', 'hugh', 'roscoe']",['A32'],1,A,0,1,9,0,2
187,1,3,28.0,1,0,15.5,female,370365,Missing,Q,"['obrien', 'mrs', 'thomas', 'johanna', 'hannah', 'godfrey']",[],0,M,1,0,146,7,1
188,1,1,45.0,0,0,26.55,male,111428,Missing,S,"['romaine', 'mr', 'charles', 'hallace', 'mr', 'c', 'rolmane']",[],0,M,0,1,146,7,2
189,0,3,40.0,1,1,15.5,male,364849,Missing,Q,"['bourke', 'mr', 'john']",[],0,M,2,1,146,7,1
190,0,3,36.0,0,0,7.8958,male,349247,Missing,S,"['turcin', 'mr', 'stjepan']",[],0,M,0,1,146,7,2
191,1,2,32.0,0,0,13.0,female,234604,Missing,S,"['pinsky', 'mrs', 'rosa']",[],0,M,0,0,146,7,2
192,0,2,19.0,0,0,13.0,male,28424,Missing,S,"['carbines', 'mr', 'william']",[],0,M,0,1,146,7,2
